Rooms,Bathroom,Landsize,Lattitude,Longtitude
2,1.0,202.0,-37.7996,144.9984
2,1.0,156.0,-37.8079,144.9934
3,2.0,134.0,-37.8093,144.9944
3,2.0,94.0,-37.7969,144.9969
4,1.0,120.0,-37.8072,144.9941
2,1.0,181.0,-37.8041,144.9953
3,2.0,245.0,-37.8024,144.9993
2,1.0,256.0,-37.806,144.9954
1,1.0,0.0,-37.8008,144.9973
2,1.0,220.0,-37.801,144.9989
2,2.0,0.0,-37.811,145.0067
3,2.0,214.0,-37.8085,144.9964
2,2.0,0.0,-37.8078,144.9965
2,1.0,195.0,-37.8084,144.9973
1,1.0,0.0,-37.8016,144.9988
2,1.0,238.0,-37.809,144.9976
3,2.0,113.0,-37.8056,144.993
3,1.0,138.0,-37.8021,144.9965
3,1.0,183.0,-37.8022,144.9975
2,1.0,150.0,-37.8011,145.0004
4,2.0,780.0,-37.8073,144.9952
3,2.0,0.0,-37.8093,144.9959
3,2.0,4290.0,-37.8078,144.9965
2,1.0,0.0,-37.8015,144.9972
2,2.0,124.0,-37.8079,144.9977
2,1.0,147.0,-37.808,144.994
1,1.0,0.0,-37.8016,144.9988
3,3.0,166.0,-37.8017,145.0001
1,1.0,0.0,-37.8078,144.9965
2,2.0,98.0,-37.8005,144.9952
4,3.0,0.0,-37.7994,144.9965
3,2.0,147.0,-37.805,144.9943
3,1.0,168.0,-37.8007,144.9958
1,1.0,0.0,-37.8055,144.9961
2,1.0,162.0,-37.8016,144.9956
3,2.0,120.0,-37.8022,144.9954
2,1.0,182.0,-37.8021,144.9976
2,1.0,172.0,-37.8086,144.9946
3,2.0,303.0,-37.718,144.878
3,2.0,0.0,-37.7203,144.8755
3,2.0,0.0,-37.7203,144.8755
2,1.0,272.0,-37.7294,144.888
3,2.0,239.0,-37.7218,144.8837
3,1.0,290.0,-37.7273,144.8744
2,1.0,168.0,-37.7215,144.8864
3,1.0,620.0,-37.7173,144.8872
4,1.0,597.0,-37.7259,144.8792
6,3.0,976.0,-37.7239,144.8735
2,1.0,110.0,-37.7216,144.871
2,1.0,141.0,-37.7298,144.8883
2,1.0,120.0,-37.7234,144.8792
3,1.0,1063.0,-37.7249,144.8728
3,1.0,0.0,-37.7217,144.8783
3,1.0,265.0,-37.7302,144.8855
2,1.0,192.0,-37.7177,144.8787
5,2.0,596.0,-37.7248,144.8699
3,2.0,165.0,-37.727,144.887
3,1.0,971.0,-37.7186,144.876
2,1.0,164.0,-37.7218,144.8863
3,2.0,657.0,-37.7269,144.8742
2,1.0,612.0,-37.7187,144.8765
3,2.0,612.0,-37.7173,144.8796
3,1.0,775.0,-37.7231,144.8835
4,3.0,531.0,-37.7263,144.8679
3,3.0,555.0,-37.7285,144.8694
3,2.0,422.0,-37.7164,144.8792
3,1.0,614.0,-37.7194,144.8827
3,2.0,161.0,-37.7231,144.8802
3,2.0,293.0,-37.72,144.8776
3,1.0,579.0,-37.7226,144.8733
3,1.0,623.0,-37.7184,144.882
2,1.0,141.0,-37.7202,144.8797
3,2.0,212.0,-37.7181,144.8824
3,1.0,612.0,-37.7169,144.8815
4,3.0,532.0,-37.7263,144.869
3,1.0,585.0,-37.72,144.878
4,1.0,509.0,-37.7261,144.8785
4,2.0,628.0,-37.7256,144.8739
2,1.0,120.0,-37.8459,144.9555
2,1.0,159.0,-37.845,144.9538
3,2.0,211.0,-37.8481,144.9499
3,2.0,128.0,-37.8452,144.9488
2,1.0,130.0,-37.8431,144.9565
2,1.0,147.0,-37.8444,144.9484
2,1.0,167.0,-37.8405,144.9521
4,2.0,153.0,-37.8447,144.9523
3,2.0,718.0,-37.8443,144.9598
3,2.0,132.0,-37.8415,144.952
2,1.0,199.0,-37.8422,144.9554
3,1.0,253.0,-37.8443,144.9579
3,2.0,90.0,-37.8421,144.9571
2,1.0,240.0,-37.8379,144.9539
3,2.0,177.0,-37.8415,144.9585
5,2.0,237.0,-37.8436,144.9557
3,1.0,129.0,-37.8422,144.94899999999996
3,2.0,0.0,-37.8451,144.9511
2,1.0,288.0,-37.8407,144.9523
3,2.0,228.0,-37.8445,144.9501
2,1.0,149.0,-37.8443,144.9481
2,1.0,141.0,-37.8424,144.9562
3,2.0,211.0,-37.847,144.9575
3,1.0,209.0,-37.8468,144.9546
3,2.0,147.0,-37.8473,144.9551
4,3.0,327.0,-37.8467,144.9475
2,1.0,0.0,-37.846,144.9542
3,1.0,120.0,-37.8427,144.9546
3,1.0,238.0,-37.8461,144.9528
